,bow_ngram_1_maxfeature_500,bow_ngram_2_maxfeature_500,bow_ngram_3_maxfeature_500,bow_ngram_1_maxfeature_1000,bow_ngram_2_maxfeature_1000,bow_ngram_3_maxfeature_1000,bow_ngram_1_maxfeature_1500,bow_ngram_2_maxfeature_1500,bow_ngram_3_maxfeature_1500,bow_ngram_1_maxfeature_2000,bow_ngram_2_maxfeature_2000,bow_ngram_3_maxfeature_2000,tfidf_ngram_1_maxfeature_500,tfidf_ngram_2_maxfeature_500,tfidf_ngram_3_maxfeature_500,tfidf_ngram_1_maxfeature_1000,tfidf_ngram_2_maxfeature_1000,tfidf_ngram_3_maxfeature_1000,tfidf_ngram_1_maxfeature_1500,tfidf_ngram_2_maxfeature_1500,tfidf_ngram_3_maxfeature_1500,tfidf_ngram_1_maxfeature_2000,tfidf_ngram_2_maxfeature_2000,tfidf_ngram_3_maxfeature_2000
perplexity,372.7879888422141,385.20090676087733,385.20090676087733,727.9439963590722,735.3559130802183,737.9475336708131,1104.8628757210718,1075.7317908103926,1149.2532827229445,1417.0892833773119,1376.8936995814317,1373.455507422975,6299.042305880916,5297.834114557177,5297.834114557177,20496.143049888706,20533.06348666532,20910.507365831698,72590.45836893517,78037.30343086447,41386.479643703475,89019.19095987703,90650.52636041846,65406.48790843709
topic_diversity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8,0.8,1.0,0.6
js_divergence,0.6342364428709216,0.6128817120797965,0.6128817120797965,0.6317684589751731,0.6106726778338514,0.6217483452127318,0.6164514065945614,0.6356503904312395,0.6134159508515823,0.6085785265664987,0.6382435014519189,0.6363345495297887,0.5615870429860513,0.5177417153645031,0.5177417153645031,0.4819768570089625,0.5280991378872628,0.5350324008541862,0.5265708528014172,0.568933993587395,0.4583455168147246,0.4902246185878279,0.46957949737013793,0.45495588585455293
purity_score,0.9238095238095239,0.6904761904761905,0.6904761904761905,0.919047619047619,0.8285714285714286,0.8333333333333334,0.7571428571428571,0.9238095238095239,0.7714285714285715,0.7761904761904762,0.9714285714285714,0.919047619047619,0.9142857142857143,0.719047619047619,0.719047619047619,0.6571428571428571,0.819047619047619,0.8285714285714286,0.7761904761904762,0.9428571428571428,0.6571428571428571,0.6714285714285714,0.638095238095238,0.638095238095238
